year,mstat,depx,state_soi,plateau,phasein,phaseout,maxagi,plateau_state,phasein_state,phaseout_state,state_name,state_fips,ratein,rateout
2000,2,0,11,353,4700,5800,10400,0,0,0,GEORGIA,13,.075106382,.076739132
2016,2,0,11,506,6700,13800,20400,0,0,0,GEORGIA,13,.075522386,.076666668
1988,1,2,11,874,6300,9800,18500,0,0,0,GEORGIA,13,.13873015,.10045977
2001,2,3,11,4008,10100,13000,32100,0,0,0,GEORGIA,13,.39683169,.20984294
2009,1,1,11,3043,9000,16400,35400,0,0,0,GEORGIA,13,.3381111,.16015789
2006,2,2,11,4536,11400,16800,38300,0,0,0,GEORGIA,13,.39789474,.21097675
1987,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1984,1,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2007,1,3,11,4716,11800,15300,37700,0,0,0,GEORGIA,13,.399661,.21053572
2017,1,3,11,6318,14100,18300,48300,0,0,0,GEORGIA,13,.4480851,.2106
1981,2,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1988,1,1,11,874,6300,9800,18500,0,0,0,GEORGIA,13,.13873015,.10045977
1994,1,1,11,2038,7900,11000,23700,0,0,0,GEORGIA,13,.25797468,.16047244
2004,1,3,11,4300,10800,14000,34400,0,0,0,GEORGIA,13,.39814815,.21078432
1980,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2022,2,3,11,6935,15500,26200,59100,0,0,0,GEORGIA,13,.44741935,.21079028
1994,2,3,11,2528,8500,11000,25200,0,0,0,GEORGIA,13,.29741177,.17802817
1982,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2000,1,1,11,2353,7000,12600,27400,0,0,0,GEORGIA,13,.33614287,.15898648
2012,1,3,11,5891,13100,17100,45000,0,0,0,GEORGIA,13,.44969466,.21114695
1991,2,2,11,1235,7300,11200,21200,0,0,0,GEORGIA,13,.16917808,.1235
2001,1,3,11,4008,10100,13000,32100,0,0,0,GEORGIA,13,.39683169,.20984294
1987,2,3,11,851,6100,6900,15400,0,0,0,GEORGIA,13,.1395082,.10011765
2021,1,0,11,1502,9900,11600,21400,0,0,0,GEORGIA,13,.15171717,.15326531
1999,2,3,11,3816,9600,12500,30600,0,0,0,GEORGIA,13,.39750001,.21082874
1985,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2012,1,2,11,5236,13100,17100,41900,0,0,0,GEORGIA,13,.39969465,.21112904
2000,1,3,11,3888,9800,12600,31100,0,0,0,GEORGIA,13,.39673468,.21016216
2004,1,0,11,390,5100,6300,11400,0,0,0,GEORGIA,13,.076470591,.076470591
2001,2,2,11,4008,10100,13000,32100,0,0,0,GEORGIA,13,.39683169,.20984294
1984,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2019,2,2,11,5828,14600,24800,52400,0,0,0,GEORGIA,13,.39917809,.21115942
2020,2,0,11,538,7100,14600,21700,0,0,0,GEORGIA,13,.075774647,.075774647
2005,1,3,11,4400,11000,14300,35200,0,0,0,GEORGIA,13,.40000001,.21052632
1995,1,0,11,314,4200,5100,9200,0,0,0,GEORGIA,13,.074761905,.076585367
1989,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1995,2,2,11,3110,8700,11300,26600,0,0,0,GEORGIA,13,.35747126,.20326798
1982,1,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1985,1,2,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
2019,2,3,11,6557,14600,24800,55900,0,0,0,GEORGIA,13,.44910958,.21083601
2014,2,2,11,5460,13700,23200,49100,0,0,0,GEORGIA,13,.39854014,.21081081
1979,1,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1980,1,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2003,1,3,11,4204,10600,13700,33600,0,0,0,GEORGIA,13,.39660376,.21125628
1989,1,2,11,910,6500,10200,19300,0,0,0,GEORGIA,13,.14,.1
2018,2,2,11,5716,14300,24300,51400,0,0,0,GEORGIA,13,.39972028,.21092251
1987,2,1,11,851,6100,6900,15400,0,0,0,GEORGIA,13,.1395082,.10011765
2009,1,0,11,457,6000,7400,13400,0,0,0,GEORGIA,13,.076166667,.076166667
1995,1,1,11,2094,6200,11200,24300,0,0,0,GEORGIA,13,.33774194,.15984733
1997,1,3,11,3656,9200,11900,29200,0,0,0,GEORGIA,13,.39739129,.21132948
2007,1,2,11,4716,11800,15300,37700,0,0,0,GEORGIA,13,.399661,.21053572
1995,2,1,11,2094,6200,11300,24400,0,0,0,GEORGIA,13,.33774194,.15984733
1993,2,1,11,1434,7800,12200,23000,0,0,0,GEORGIA,13,.18384616,.13277778
1994,2,1,11,2038,7900,11000,23700,0,0,0,GEORGIA,13,.25797468,.16047244
2017,2,3,11,6318,14100,23900,53900,0,0,0,GEORGIA,13,.4480851,.2106
1986,1,3,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
2005,2,3,11,4400,11000,16300,37200,0,0,0,GEORGIA,13,.40000001,.21052632
1989,2,3,11,910,6500,10200,19300,0,0,0,GEORGIA,13,.14,.1
1996,2,3,11,3556,8900,11600,28500,0,0,0,GEORGIA,13,.39955056,.2104142
1995,1,2,11,3110,8700,11200,26600,0,0,0,GEORGIA,13,.35747126,.20194805
1979,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2011,2,0,11,464,6100,12500,18600,0,0,0,GEORGIA,13,.07606557,.07606557
2015,1,2,11,5548,13900,18100,44400,0,0,0,GEORGIA,13,.39913669,.21095057
2019,1,2,11,5828,14600,19000,46700,0,0,0,GEORGIA,13,.39917809,.21039711
2022,1,2,11,6164,15500,20100,49300,0,0,0,GEORGIA,13,.39767742,.21109588
1989,1,1,11,910,6500,10200,19300,0,0,0,GEORGIA,13,.14,.1
2018,1,3,11,6431,14300,18600,49100,0,0,0,GEORGIA,13,.44972029,.21085246
2018,2,0,11,519,6800,14100,20900,0,0,0,GEORGIA,13,.076323532,.076323532
1984,1,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2021,1,2,11,5980,15000,19500,47900,0,0,0,GEORGIA,13,.39866668,.21056338
1995,2,3,11,3110,8700,11300,26600,0,0,0,GEORGIA,13,.35747126,.20326798
2019,2,1,11,3526,10400,24800,46800,0,0,0,GEORGIA,13,.33903846,.16027273
1999,1,0,11,347,4600,5700,10200,0,0,0,GEORGIA,13,.075434782,.07711111
1983,1,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2008,1,0,11,438,5800,7100,12800,0,0,0,GEORGIA,13,.075517245,.076842107
1996,1,3,11,3556,8900,11600,28400,0,0,0,GEORGIA,13,.39955056,.21166667
1987,1,1,11,851,6100,6900,15400,0,0,0,GEORGIA,13,.1395082,.10011765
1998,2,1,11,2271,6700,12300,26500,0,0,0,GEORGIA,13,.33895522,.15992957
1996,1,2,11,3556,8900,11600,28400,0,0,0,GEORGIA,13,.39955056,.21166667
2008,1,3,11,4824,12100,15700,38600,0,0,0,GEORGIA,13,.39867768,.21065502
2010,1,3,11,5666,12600,16400,43300,0,0,0,GEORGIA,13,.44968253,.21063197
1979,2,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1988,2,1,11,874,6300,9800,18500,0,0,0,GEORGIA,13,.13873015,.10045977
2003,2,1,11,2547,7500,14700,30600,0,0,0,GEORGIA,13,.3396,.16018867
2004,1,2,11,4300,10800,14000,34400,0,0,0,GEORGIA,13,.39814815,.21078432
1994,2,0,11,306,4000,5000,8900,0,0,0,GEORGIA,13,.076499999,.078461535
1990,1,3,11,953,6900,10700,20200,0,0,0,GEORGIA,13,.13811594,.10031579
1992,1,1,11,1324,7600,11800,22300,0,0,0,GEORGIA,13,.17421053,.12609524
2009,2,0,11,457,6000,12400,18400,0,0,0,GEORGIA,13,.076166667,.076166667
2000,1,0,11,353,4700,5800,10400,0,0,0,GEORGIA,13,.075106382,.076739132
2006,2,0,11,412,5400,8700,14100,0,0,0,GEORGIA,13,.0762963,.0762963
1984,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1999,1,3,11,3816,9600,12400,30500,0,0,0,GEORGIA,13,.39750001,.21082874
2017,1,2,11,5616,14100,18300,45000,0,0,0,GEORGIA,13,.39829788,.21033707
1983,1,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1998,1,0,11,341,4500,5600,10000,0,0,0,GEORGIA,13,.075777777,.077500001
1996,2,1,11,2152,6400,11600,25100,0,0,0,GEORGIA,13,.33625001,.15940741
2015,1,0,11,503,6600,8200,14800,0,0,0,GEORGIA,13,.076212123,.076212123
2018,1,1,11,3461,10200,18600,40300,0,0,0,GEORGIA,13,.33931372,.15949309
2010,2,0,11,457,6000,12400,18400,0,0,0,GEORGIA,13,.076166667,.076166667
2017,1,1,11,3400,10000,18300,39600,0,0,0,GEORGIA,13,.34,.15962441
2007,2,1,11,2853,8400,17300,35200,0,0,0,GEORGIA,13,.33964285,.15938547
1988,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2005,2,2,11,4400,11000,16300,37200,0,0,0,GEORGIA,13,.40000001,.21052632
2005,2,0,11,399,5300,8500,13700,0,0,0,GEORGIA,13,.075283021,.076730773
2001,1,0,11,364,4800,5900,10700,0,0,0,GEORGIA,13,.075833336,.075833336
1990,1,1,11,953,6900,10700,20200,0,0,0,GEORGIA,13,.13811594,.10031579
1986,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2002,2,3,11,4140,10400,14500,34100,0,0,0,GEORGIA,13,.39807692,.2112245
2011,2,1,11,3094,9100,21600,41000,0,0,0,GEORGIA,13,.34,.15948454
1983,2,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1989,2,2,11,910,6500,10200,19300,0,0,0,GEORGIA,13,.14,.1
1994,2,2,11,2528,8500,11000,25200,0,0,0,GEORGIA,13,.29741177,.17802817
2015,2,0,11,503,6600,13700,20300,0,0,0,GEORGIA,13,.076212123,.076212123
1993,2,2,11,1511,7800,12200,23000,0,0,0,GEORGIA,13,.19371794,.1399074
1997,1,2,11,3656,9200,11900,29200,0,0,0,GEORGIA,13,.39739129,.21132948
2002,2,1,11,2506,7400,14500,30200,0,0,0,GEORGIA,13,.33864865,.15961784
2007,2,2,11,4716,11800,17300,39700,0,0,0,GEORGIA,13,.399661,.21053572
1999,1,1,11,2312,6800,12400,26900,0,0,0,GEORGIA,13,.34,.15944828
1990,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1985,2,3,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
1986,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2002,1,1,11,2506,7400,13500,29200,0,0,0,GEORGIA,13,.33864865,.15961784
1990,2,2,11,953,6900,10700,20200,0,0,0,GEORGIA,13,.13811594,.10031579
2019,2,0,11,529,7000,14400,21300,0,0,0,GEORGIA,13,.075571425,.076666668
1991,2,1,11,1192,7200,11200,21200,0,0,0,GEORGIA,13,.16555555,.1192
2012,2,2,11,5236,13100,22300,47100,0,0,0,GEORGIA,13,.39969465,.21112904
2005,1,0,11,399,5300,6500,11700,0,0,0,GEORGIA,13,.075283021,.076730773
2011,2,2,11,5112,12800,21600,45900,0,0,0,GEORGIA,13,.39937499,.21037038
1980,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2009,2,3,11,5657,12600,21400,48200,0,0,0,GEORGIA,13,.44896826,.21108209
2013,1,3,11,6044,13500,17500,46200,0,0,0,GEORGIA,13,.44770369,.21059233
2007,1,1,11,2853,8400,15300,33200,0,0,0,GEORGIA,13,.33964285,.15938547
1986,2,2,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
2015,1,1,11,3359,9900,18100,39100,0,0,0,GEORGIA,13,.33929294,.15995239
1992,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2019,1,0,11,529,7000,8600,15500,0,0,0,GEORGIA,13,.075571425,.076666668
1992,1,3,11,1384,7600,11800,22300,0,0,0,GEORGIA,13,.18210526,.13180952
2000,2,1,11,2353,7000,12700,27400,0,0,0,GEORGIA,13,.33614287,.16006802
1991,1,1,11,1192,7200,11200,21200,0,0,0,GEORGIA,13,.16555555,.1192
1987,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2017,2,2,11,5616,14100,23900,50500,0,0,0,GEORGIA,13,.39829788,.21112782
2006,2,3,11,4536,11400,16800,38300,0,0,0,GEORGIA,13,.39789474,.21097675
2022,1,3,11,6935,15500,20100,53000,0,0,0,GEORGIA,13,.44741935,.21079028
1982,2,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1987,1,3,11,851,6100,6900,15400,0,0,0,GEORGIA,13,.1395082,.10011765
1985,2,1,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
1985,1,3,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
1997,2,0,11,332,4400,5400,9700,0,0,0,GEORGIA,13,.075454548,.077209301
2016,1,3,11,6269,14000,18100,47900,0,0,0,GEORGIA,13,.44778571,.21036913
1989,2,1,11,910,6500,10200,19300,0,0,0,GEORGIA,13,.14,.1
1997,2,1,11,2210,6500,11900,25700,0,0,0,GEORGIA,13,.34,.16014493
2014,2,0,11,496,6500,13500,20000,0,0,0,GEORGIA,13,.076307692,.076307692
1982,1,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1990,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2018,2,3,11,6431,14300,24300,54800,0,0,0,GEORGIA,13,.44972029,.21085246
2003,2,2,11,4204,10600,14700,34600,0,0,0,GEORGIA,13,.39660376,.21125628
2016,2,2,11,5572,14000,23700,50100,0,0,0,GEORGIA,13,.398,.21106061
1993,1,2,11,1511,7800,12200,23000,0,0,0,GEORGIA,13,.19371794,.1399074
1998,2,3,11,3756,9400,12300,30100,0,0,0,GEORGIA,13,.39957446,.21101123
2015,1,3,11,6242,13900,18100,47700,0,0,0,GEORGIA,13,.44906476,.21087837
1979,2,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2012,2,1,11,3169,9400,22300,42100,0,0,0,GEORGIA,13,.33712766,.16005051
1998,2,2,11,3756,9400,12300,30100,0,0,0,GEORGIA,13,.39957446,.21101123
2009,1,3,11,5657,12600,16400,43200,0,0,0,GEORGIA,13,.44896826,.21108209
1981,1,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2003,2,0,11,382,5000,7200,12200,0,0,0,GEORGIA,13,.076399997,.076399997
2022,2,1,11,3733,11000,26200,49600,0,0,0,GEORGIA,13,.33936363,.15952991
2012,2,3,11,5891,13100,22300,50200,0,0,0,GEORGIA,13,.44969466,.21114695
2006,1,1,11,2747,8100,14800,32000,0,0,0,GEORGIA,13,.3391358,.1597093
1999,2,2,11,3816,9600,12500,30600,0,0,0,GEORGIA,13,.39750001,.21082874
1988,2,3,11,874,6300,9800,18500,0,0,0,GEORGIA,13,.13873015,.10045977
1980,1,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1993,1,1,11,1434,7800,12200,23000,0,0,0,GEORGIA,13,.18384616,.13277778
1980,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1986,1,2,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
1983,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2021,2,1,11,3618,10700,25400,48100,0,0,0,GEORGIA,13,.33813083,.15938327
2003,1,2,11,4204,10600,13700,33600,0,0,0,GEORGIA,13,.39660376,.21125628
2013,1,1,11,3250,9600,17500,37800,0,0,0,GEORGIA,13,.33854166,.16009852
1992,1,2,11,1384,7600,11800,22300,0,0,0,GEORGIA,13,.18210526,.13180952
2019,1,1,11,3526,10400,19000,41000,0,0,0,GEORGIA,13,.33903846,.16027273
2016,2,1,11,3373,10000,23700,44800,0,0,0,GEORGIA,13,.3373,.15985782
2009,2,2,11,5028,12600,21400,45200,0,0,0,GEORGIA,13,.39904761,.2112605
1983,1,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2020,1,2,11,5920,14800,19300,47400,0,0,0,GEORGIA,13,.40000001,.21067616
2011,2,3,11,5751,12800,21700,49000,0,0,0,GEORGIA,13,.44929686,.21065934
1979,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1993,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1982,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2022,1,0,11,560,7400,9100,16400,0,0,0,GEORGIA,13,.075675674,.076712325
2022,2,0,11,560,7400,15200,22600,0,0,0,GEORGIA,13,.075675674,.075675674
1991,1,2,11,1235,7300,11200,21200,0,0,0,GEORGIA,13,.16917808,.1235
1994,1,2,11,2528,8500,11000,25200,0,0,0,GEORGIA,13,.29741177,.17802817
2020,2,2,11,5920,14800,25200,53300,0,0,0,GEORGIA,13,.40000001,.21067616
2009,1,2,11,5028,12600,16400,40200,0,0,0,GEORGIA,13,.39904761,.2112605
2012,1,1,11,3169,9400,17100,36900,0,0,0,GEORGIA,13,.33712766,.16005051
2004,2,3,11,4300,10800,15000,35400,0,0,0,GEORGIA,13,.39814815,.21078432
2006,2,1,11,2747,8100,16800,34000,0,0,0,GEORGIA,13,.3391358,.1597093
1992,2,3,11,1384,7600,11800,22300,0,0,0,GEORGIA,13,.18210526,.13180952
2016,1,0,11,506,6700,8200,14800,0,0,0,GEORGIA,13,.075522386,.076666668
2010,2,1,11,3050,9000,21400,40500,0,0,0,GEORGIA,13,.33888888,.15968587
2020,1,3,11,6660,14800,19300,50900,0,0,0,GEORGIA,13,.44999999,.21075949
2014,2,3,11,6143,13700,23200,52400,0,0,0,GEORGIA,13,.44839415,.21037671
1998,1,1,11,2271,6700,12200,26400,0,0,0,GEORGIA,13,.33895522,.15992957
2004,2,2,11,4300,10800,15000,35400,0,0,0,GEORGIA,13,.39814815,.21078432
1985,1,1,11,550,5000,6500,11000,0,0,0,GEORGIA,13,.11,.12222222
2014,1,2,11,5460,13700,17800,43700,0,0,0,GEORGIA,13,.39854014,.21081081
2003,1,0,11,382,5000,6200,11200,0,0,0,GEORGIA,13,.076399997,.076399997
1989,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1979,1,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1997,1,1,11,2210,6500,11900,25700,0,0,0,GEORGIA,13,.34,.16014493
2007,1,0,11,428,5600,7000,12500,0,0,0,GEORGIA,13,.07642857,.077818185
2008,2,3,11,4824,12100,18700,41600,0,0,0,GEORGIA,13,.39867768,.21065502
2002,1,2,11,4140,10400,13500,33100,0,0,0,GEORGIA,13,.39807692,.2112245
1980,2,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1982,1,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2011,1,0,11,464,6100,7500,13600,0,0,0,GEORGIA,13,.07606557,.07606557
2005,1,1,11,2662,7900,14300,31000,0,0,0,GEORGIA,13,.33696201,.15940119
2010,1,1,11,3050,9000,16400,35500,0,0,0,GEORGIA,13,.33888888,.15968587
2002,1,3,11,4140,10400,13500,33100,0,0,0,GEORGIA,13,.39807692,.2112245
2000,2,2,11,3888,9800,12700,31100,0,0,0,GEORGIA,13,.39673468,.21130435
2021,2,3,11,6728,15000,25400,57400,0,0,0,GEORGIA,13,.44853333,.21025001
1999,1,2,11,3816,9600,12400,30500,0,0,0,GEORGIA,13,.39750001,.21082874
2011,1,1,11,3094,9100,16600,36000,0,0,0,GEORGIA,13,.34,.15948454
1987,1,2,11,851,6100,6900,15400,0,0,0,GEORGIA,13,.1395082,.10011765
2012,1,0,11,475,6300,7700,13900,0,0,0,GEORGIA,13,.075396828,.076612905
2011,1,3,11,5751,12800,16600,43900,0,0,0,GEORGIA,13,.44929686,.21065934
2006,1,2,11,4536,11400,14800,36300,0,0,0,GEORGIA,13,.39789474,.21097675
2011,1,2,11,5112,12800,16600,40900,0,0,0,GEORGIA,13,.39937499,.21037038
2003,1,1,11,2547,7500,13700,29600,0,0,0,GEORGIA,13,.3396,.16018867
1990,2,3,11,953,6900,10700,20200,0,0,0,GEORGIA,13,.13811594,.10031579
2014,2,1,11,3305,9800,23200,43900,0,0,0,GEORGIA,13,.3372449,.15966183
1988,2,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2002,2,0,11,376,5000,7000,11900,0,0,0,GEORGIA,13,.075199999,.076734692
2018,2,1,11,3461,10200,24300,46000,0,0,0,GEORGIA,13,.33931372,.15949309
2013,2,1,11,3250,9600,22800,43200,0,0,0,GEORGIA,13,.33854166,.15931372
2010,2,2,11,5036,12600,21400,45300,0,0,0,GEORGIA,13,.39968255,.2107113
2021,2,2,11,5980,15000,25400,53800,0,0,0,GEORGIA,13,.39866668,.21056338
2013,1,0,11,487,6400,7900,14300,0,0,0,GEORGIA,13,.076093748,.076093748
1997,2,3,11,3656,9200,11900,29300,0,0,0,GEORGIA,13,.39739129,.21011494
2022,2,2,11,6164,15500,26200,55500,0,0,0,GEORGIA,13,.39767742,.21037543
1981,2,3,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1998,1,2,11,3756,9400,12200,30000,0,0,0,GEORGIA,13,.39957446,.21101123
1992,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1993,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
2013,2,0,11,487,6400,13300,19600,0,0,0,GEORGIA,13,.076093748,.077301584
2012,2,0,11,475,6300,13000,19200,0,0,0,GEORGIA,13,.075396828,.076612905
1998,2,0,11,341,4500,5600,10000,0,0,0,GEORGIA,13,.075777777,.077500001
1997,1,0,11,332,4400,5400,9700,0,0,0,GEORGIA,13,.075454548,.077209301
1996,2,2,11,3556,8900,11600,28500,0,0,0,GEORGIA,13,.39955056,.2104142
1985,1,0,11,0,0,0,0,0,0,0,GEORGIA,13,,
1993,2,3,11,1511,7800,12200,23000,0,0,0,GEORGIA,13,.19371794,.1399074
1980,2,1,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
2014,1,1,11,3305,9800,17800,38500,0,0,0,GEORGIA,13,.3372449,.15966183
2016,2,3,11,6269,14000,23700,53500,0,0,0,GEORGIA,13,.44778571,.21036913
1981,2,2,11,500,5000,6000,9900,0,0,0,GEORGIA,13,.1,.12820514
1995,2,0,11,314,4200,5100,9200,0,0,0,GEORGIA,13,.074761905,.076585367
2000,2,3,11,3888,9800,12700,31100,0,0,0,GEORGIA,13,.39673468,.21130435
2005,2,1,11,2662,7900,16400,33000,0,0,0,GEORGIA,13,.33696201,.16036144
1988,2,2,11,874,6300,9800,18500,0,0,0,GEORGIA,13,.13873015,.10045977
2022,1,1,11,3733,11000,20100,43400,0,0,0,GEORGIA,13,.33936363,.16021459
2020,2,3,11,6660,14800,25200,56800,0,0,0,GEORGIA,13,.44999999,.21075949
1993,2,1,12,1434,7800,12200,23000,0,0,0,HAWAII,15,.18384616,.13277778
2009,2,3,12,5657,12600,21400,48200,0,0,0,HAWAII,15,.44896826,.21108209
1985,2,3,12,550,5000,6500,11000,0,0,0,HAWAII,15,.11,.12222222
2020,1,0,12,538,7100,8700,15800,93.68,9700,9700,HAWAII,15,.075774647,.075774647
2005,2,1,12,2662,7900,16400,33000,0,0,0,HAWAII,15,.33696201,.16036144
2021,1,0,12,1502,9900,11600,21400,267.04999,12700,12700,HAWAII,15,.15171717,.15326531
2014,2,2,12,5460,13700,23200,49100,0,0,0,HAWAII,15,.39854014,.21081081
2022,2,3,12,6935,15500,26200,59100,910.5,36900,36900,HAWAII,15,.44741935,.21079028
1983,2,1,12,500,5000,6000,9900,0,0,0,HAWAII,15,.1,.12820514
1992,1,0,12,0,0,0,0,0,0,0,HAWAII,15,,
1990,1,3,12,953,6900,10700,20200,0,0,0,HAWAII,15,.13811594,.10031579
2008,1,0,12,438,5800,7100,12800,0,0,0,HAWAII,15,.075517245,.076842107
1987,2,0,12,0,0,0,0,0,0,0,HAWAII,15,,
1980,2,2,12,500,5000,6000,9900,0,0,0,HAWAII,15,.1,.12820514
2005,2,0,12,399,5300,8500,13700,0,0,0,HAWAII,15,.075283021,.076730773
2018,1,1,12,3461,10200,18600,40300,575.87,22300,22300,HAWAII,15,.33931372,.15949309
2000,1,0,12,353,4700,5800,10400,0,0,0,HAWAII,15,.075106382,.076739132
1993,1,1,12,1434,7800,12200,23000,0,0,0,HAWAII,15,.18384616,.13277778
1986,1,0,12,0,0,0,0,0,0,0,HAWAII,15,,
2000,1,3,12,3888,9800,12600,31100,0,0,0,HAWAII,15,.39673468,.21016216
1979,2,3,12,500,5000,6000,9900,0,0,0,HAWAII,15,.1,.12820514
2014,1,3,12,6143,13700,17800,46900,0,0,0,HAWAII,15,.44839415,.21109965
1986,2,0,12,0,0,0,0,0,0,0,HAWAII,15,,
2006,1,2,12,4536,11400,14800,36300,0,0,0,HAWAII,15,.39789474,.21097675
2010,2,0,12,457,6000,12400,18400,0,0,0,HAWAII,15,.076166667,.076166667
1993,1,0,12,0,0,0,0,0,0,0,HAWAII,15,,
2003,1,1,12,2547,7500,13700,29600,0,0,0,HAWAII,15,.3396,.16018867
1995,1,1,12,2094,6200,11200,24300,0,0,0,HAWAII,15,.33774194,.15984733
2011,2,0,12,464,6100,12500,18600,0,0,0,HAWAII,15,.07606557,.07606557
2010,1,2,12,5036,12600,16400,40300,0,0,0,HAWAII,15,.39968255,.2107113
2018,1,3,12,6431,14300,18600,49100,821.19,29700,29700,HAWAII,15,.44972029,.21085246
1992,2,2,12,1384,7600,11800,22300,0,0,0,HAWAII,15,.18210526,.13180952
1990,2,0,12,0,0,0,0,0,0,0,HAWAII,15,,
1984,1,0,12,0,0,0,0,0,0,0,HAWAII,15,,
2015,2,2,12,5548,13900,23600,49900,0,0,0,HAWAII,15,.39913669,.21095057
2016,1,0,12,506,6700,8200,14800,0,0,0,HAWAII,15,.075522386,.076666668
2012,1,3,12,5891,13100,17100,45000,0,0,0,HAWAII,15,.44969466,.21114695
2005,1,3,12,4400,11000,14300,35200,0,0,0,HAWAII,15,.40000001,.21052632
2006,1,1,12,2747,8100,14800,32000,0,0,0,HAWAII,15,.3391358,.1597093
1989,2,3,12,910,6500,10200,19300,0,0,0,HAWAII,15,.14,.1
1980,2,3,12,500,5000,6000,9900,0,0,0,HAWAII,15,.1,.12820514
2020,1,2,12,5920,14800,19300,47400,823.03003,27900,27900,HAWAII,15,.40000001,.21067616
2000,2,2,12,3888,9800,12700,31100,0,0,0,HAWAII,15,.39673468,.21130435
2006,2,0,12,412,5400,8700,14100,0,0,0,HAWAII,15,.0762963,.0762963
1991,1,2,12,1235,7300,11200,21200,0,0,0,HAWAII,15,.16917808,.1235
1998,2,3,12,3756,9400,12300,30100,0,0,0,HAWAII,15,.39957446,.21101123
2022,2,2,12,6164,15500,26200,55500,867.15997,34300,34300,HAWAII,15,.39767742,.21037543
2013,2,0,12,487,6400,13300,19600,0,0,0,HAWAII,15,.076093748,.077301584
2016,2,1,12,3373,10000,23700,44800,0,0,0,HAWAII,15,.3373,.15985782
2000,1,2,12,3888,9800,12600,31100,0,0,0,HAWAII,15,.39673468,.21016216
2010,1,0,12,457,6000,7400,13400,0,0,0,HAWAII,15,.076166667,.076166667
1989,1,1,12,910,6500,10200,19300,0,0,0,HAWAII,15,.14,.1
2015,2,3,12,6242,13900,23600,53200,0,0,0,HAWAII,15,.44906476,.21087837
